name,address,city,zip,sra_id,sra
Tecate Christian,23945 Tecate Mission Road,Tecate,91980,62,MOUNTAIN EMPIRE
Ocean View Christian Academy,2460 Palm Avenue,San Diego,92154,22,SOUTH BAY
St. Charles Elementary,929 18th Street,San Diego,92154,22,SOUTH BAY
Mater Dei Catholic High School,1615 Mater Dei Drive,Chula Vista,91913,20,SWEETWATER
Our Lady of Mount Carmel School,4141 Beyer Boulevard,San Ysidro,92173,22,SOUTH BAY
Saint Kieran Catholic School,1347 Camillo Way,El Cajon,92021,34,EL CAJON
Pine Glen Academy,15519 Villa Sierra Road,Valley Center,92082,53,VALLEY CENTER
Kings Academy,1717 East Lincoln Avenue,Escondido,92027,50,ESCONDIDO
Escondido Adventist Academy,1301 Deodar Road,Escondido,92026,50,ESCONDIDO
Escondido Christian School,923 Idaho Avenue,Escondido,92025,50,ESCONDIDO
St. Mary School,130 East 13th Avenue,Escondido,92025,50,ESCONDIDO
La Costa Valley Preschool and Kindergarten,2276 Calle Barcelona,Carlsbad,92009,41,CARLSBAD
St. Michael's School,15542 Pomerado Road,Poway,92064,14,NORTH SAN DIEGO
Country Montessori School of Poway,12642 Monte Vista Road,Poway,92064,15,POWAY
La Jolla Country Day School,9490 Genesee Avenue,La Jolla,92037,12,UNIVERSITY
Foothills Christian High School,2321 Dryden Road,El Cajon,92020,34,EL CAJON
San Diego Jewish Academy,11860 Carmel Creek Road,San Diego,92130,13,DEL MAR-MIRA MESA
St. Francis of Assisi,525 West Vista Way,Vista,92083,52,VISTA
Vista Christian,290 North Melrose Drive,Vista,92083,52,VISTA
Tri-City Christian Schools,302 North Emerald Drive,Vista,92083,42,OCEANSIDE
Oceanside Adventist Elementary,1943 California Street,Oceanside,92054,42,OCEANSIDE
Warren-Walker School/La Mesa,5150 Wilson Street,La Mesa,91942,33,LA MESA
Christ the Cornerstone Lutheran Academy,9028 Westmore Road,San Diego,92126,13,DEL MAR-MIRA MESA
Encinitas Country Day School,3616 Manchester Avenue,Encinitas,92024,40,SAN DIEGUITO
Grace Academy,2731 Abedul Street,Carlsbad,92009,41,CARLSBAD
Cathedral Catholic High School,5555 Del Mar Heights Road,San Diego,92130,13,DEL MAR-MIRA MESA
Alpha and Omega Academy,135 East Ivy Street,Fallbrook,92028,55,FALLBROOK
Children's Creative and Performing Arts Academy,3051 El Cajon Boulevard,San Diego,92104,1,CENTRAL SAN DIEGO
Le Lyce Franais de San Diego,8401 Aero Drive,San Diego,92117,10,KEARNY MESA
Family Education Academy,3501 Secluded Lane,Fallbrook,92028,55,FALLBROOK
"Gillispie School, The",7380 Girard Avenue,La Jolla,92037,11,COASTAL
Mt. Helix Academy,5955 Severin Drive,La Mesa,91942,33,LA MESA
Notre Dame Academy,4345 Del Mar Trails Road,San Diego,92130,13,DEL MAR-MIRA MESA
Pacific Ridge School,6269 El Fuerte Street,Carlsbad,92009,41,CARLSBAD
Grace Christian School,643 West 13th Avenue,Escondido,92025,50,ESCONDIDO
Zion Christian School,1405 East Fallbrook Street,Fallbrook,92028,55,FALLBROOK
"Comprehensive Ed Svs, DBA: Aces Academy",3715 6th Avenue,San Diego,92103,1,CENTRAL SAN DIEGO
Southern California Yeshiva High School,3410 Mt. Acadia Boulevard,San Diego,92111,10,KEARNY MESA
Sierra School Of San Diego,6460 Boulder Lake Avenue,San Diego,92119,17,ELLIOTT-NAVAJO
Aseltine School,4027 Normal Street,San Diego,92103,1,CENTRAL SAN DIEGO
Children's Workshop,9524 Kearny Villa Rd.,San Diego,92126,13,DEL MAR-MIRA MESA
Cook Education Center,2255 Camino del Rio South,San Diego,92108,10,KEARNY MESA
Urban Skills Center,2225 Camino del Rio South,San Diego,92108,10,KEARNY MESA
Sam and Rose Stein Education Center,6145 Decena Drive,San Diego,92120,17,ELLIOTT-NAVAJO
South Bay Christian Academy,395 D Street,Chula Vista,91910,21,CHULA VISTA
Saint Joseph Academy,500 Las Flores Drive,San Marcos,92078,51,SAN MARCOS
Mt. Erie Christian Academy,504 S 47th St,San Diego,92113,5,SOUTHEASTERN SAN DIEGO
Victory Christian Academy,810 Buena Vista Way,Chula Vista,91910,20,SWEETWATER
Ramona Faith Academy,25152 E Old Julian Hwy,Ramona,92065,39,RAMONA
St. Gregory the Great Catholic School,15315 Stonebridge Parkway,San Diego,92131,17,ELLIOTT-NAVAJO
Village Gate Children's Academy,1613 Lake Drive,Encinitas,92024,40,SAN DIEGUITO
Bonita Learning Academy,3368 Bonita Road,Chula Vista,91910,20,SWEETWATER
Calvary Preparatory Academy,1740 La Costa Meadows Rd. STE 105,Escondido,92026,51,SAN MARCOS
High Bluff Academy,"5531 Cancha De Golf, Suite 202",Rancho Santa Fe,92091,14,NORTH SAN DIEGO
Redeemer by the Sea Lutheran Kindergarten and Preschool,6604 Black Rail Road,Carlsbad,92011,41,CARLSBAD
Tabernacle Christian Academy,1765 Pentecost Way,San Diego,92105,6,MID-CITY
Montessori Explorer,271 East J Street,Chula Vista,91910,21,CHULA VISTA
Berean Bible Baptist Academy,345 Fifth Avenue,Chula Vista,91914,21,CHULA VISTA
Lifetime Montessori School,14727 Camino de la Luna,San Diego,92127,14,NORTH SAN DIEGO
Maria Montessori School,4544 Pocahontas Avenue,San Diego,92117,10,KEARNY MESA
The Cambridge School,12855 Black Mountain Road,San Diego,92129,14,NORTH SAN DIEGO
Big Tree Little Preschool Kindergarten,1600 Buena Vista Drive,Vista,92081,52,VISTA
Sacred Woven Circle Academy,1034 Capistrano Dr.,Oceanside,92058,42,OCEANSIDE
St. Mary Star of the Sea Elementary,515 Wiconsin Avenue,Oceanside,92054,42,OCEANSIDE
Canyon Ridge Christian Prep,1200 Old Highway 395,Fallbrook,92028,55,FALLBROOK
Discovery Isle Child Development Center,"1655 South Ranch Santa Fe Road, Suite 101",San Marcos,92078,51,SAN MARCOS
Cal Coast Academy,18029 Pacifica Ranch Drive,Rancho Santa Fe,92091,40,SAN DIEGUITO
St. Martin of Tours Academy,7708 El Cajon Boulevard,La Mesa,91942,33,LA MESA
Fusion Academy Solana Beach,"512 Via de la Valle, Suite 201",Solana Beach,92075,40,SAN DIEGUITO
Del Mar Pines School,3975 Torrington Street,San Diego,92130,13,DEL MAR-MIRA MESA
Good Shepherd Catholic School,8160 Gold Coast Drive,San Diego,92126,13,DEL MAR-MIRA MESA
Grace Christian Schools-Mission Valley Christian Fellowship,6536 Estrella Avenue,San Diego,92120,17,ELLIOTT-NAVAJO
Brookshire International Academy,6926 Federal Blvd,Lemon Grove,91945,32,LEMON GROVE
Beta-Selam Academy,6429 Imperial Avenue,San Diego,92114,5,SOUTHEASTERN SAN DIEGO
Mindful Montessori School,625 Otay Lakes Rd. Building 1,Chula Vista,91913,20,SWEETWATER
St. Pius X,37 East Emerson St.,Chula Vista,91911,21,CHULA VISTA
Christian Junior/Senior High School,2100 Greenfield Drive,El Cajon,92019,34,EL CAJON
Saint Charles Borromeo Academy,2808 Cadiz Street,San Diego,92110,2,PENINSULA
The Koonings Center,12271 Oak Knoll Road,Poway,92064,15,POWAY
Saint John School,1003 Encinitas Boulevard,Encinitas,92024,40,SAN DIEGUITO
Bethel Academy,1200 East 8th Street,National City,91950,4,NATIONAL CITY
Fred Finch Youth Center,"3845 Spring Drive, Room 18",Spring Valley,91977,31,SPRING VALLEY
Francis Parker School,6501 Linda Vista Road,San Diego,92111,10,KEARNY MESA
Warren-Walker School,4605 Point Loma Avenue,San Diego,92107,2,PENINSULA
Our Lady's School,"650 24th Street,",San Diego,92102,1,CENTRAL SAN DIEGO
Francis Parker School,4201 Randolph Street,San Diego,92103,1,CENTRAL SAN DIEGO
Our Lady's School,1770 Kearney Avenue,San Diego,92113,1,CENTRAL SAN DIEGO
North County Christian School,"711 Center Drive, Suite 105-316",San Marcos,92069,51,SAN MARCOS
Futures Academy - Carlsbad,705 Palomar Airport Road,Carlsbad,92011,41,CARLSBAD
High Tech Elementary,2150 Cushing Road,San Diego,92106,2,PENINSULA
Pacific Trails Middle,5975 Village Center Loop Road,San Diego,92130,13,DEL MAR-MIRA MESA
Solana Ranch Elementary,13605 Pacific Highlands Ranch Parkway,San Diego,92130,13,DEL MAR-MIRA MESA
Design 39 Campus,17050 Del Sur Ridge Road,San Diego,92127,14,NORTH SAN DIEGO
Mater Dei Juan Diego Academy,1615 Mater Dei Drive,Chula Vista,91913,20,SWEETWATER
"Accelerated Academics, Inc.","6120 Paseo Del Norte, Suite L1",Carlsbad,92011,41,CARLSBAD
Balboa School,855 Brotherton Road,Escondido,92025,50,ESCONDIDO
Christian Elementary South Bay,"482 ""L"" Street",Chula Vista,91911,21,CHULA VISTA
Community School of San Diego,4764 Santa Monica Avenue,San Diego,92107,2,PENINSULA
Community School of San Diego High School,1984 Sunset Cliffs Boulevard,San Diego,92107,2,PENINSULA
Fusion Academy & Learning Center University City,"5060 Shoreham Place, Suite 130",San Diego,92122,12,UNIVERSITY
Kid's Town Montessori School,867 Sycamore Avenue,Vista,92081,52,VISTA
Lighthouse Christian Academy,1345 Skyline Drive,Lemon Grove,91945,32,LEMON GROVE
Reformation Lutheran Church and School,4670 Mount Abernathy Ave.,San Diego,92117,10,KEARNY MESA
San Diego Workforce Innovation High,"2 Euclid Avenue, Suite A",Borrego Springs,92004,63,ANZA-BORREGO SPRINGS
Empower,165 Roanoke Road,El Cajon,92020,34,EL CAJON
Muraoka (Saburo) Elementary,1644 Santa Alexia Avenue,Chula Vista,91915,20,SWEETWATER
Pacific Coast Academy,13915 Danielson Street #103,Poway,92064,15,POWAY
Escondido Adult,220 West Crest,Escondido,92025,50,ESCONDIDO
Mike Choate Early Childhood Education Center,407 South Mission Road,Fallbrook,92028,55,FALLBROOK
Foothills Adult Education Center,1550 Melody Lane,El Cajon,92019,34,EL CAJON
El Cajon Adult Center,1075 East Madison Avenue,El Cajon,92021,34,EL CAJON
Steele Canyon Adult Center,12440 Campo Road,Spring Valley,91978,30,JAMUL
Grossmont Adult,1550 Melody Lane,El Cajon,92019,34,EL CAJON
Spring Valley Academy,3900 Conrad Drive,Spring Valley,91977,31,SPRING VALLEY
Sparrow Academy,4207 Spring Gardens Road,La Mesa,91941,33,LA MESA
Poway Adult,13626 Twin Peaks Road,Poway,92064,15,POWAY
Ramona Adult,720 Ninth Street,Ramona,92065,39,RAMONA
Urban Discovery Academy Charter,840 14th Street,San Diego,92101,1,CENTRAL SAN DIEGO
San Diego Adult,4777 Imperial Avenue Room 407,San Diego,92113,5,SOUTHEASTERN SAN DIEGO
Montgomery Adult,3240 Palm Avenue,San Diego,92154,22,SOUTH BAY
San Ysidro Adult Education Center,4220 Otay Mesa Road,San Ysidro,92173,22,SOUTH BAY
Chula Vista Adult,1034 Fourth Avenue,Chula Vista,91911,21,CHULA VISTA
National City Adult,517 West 24th Street,National City,91950,4,NATIONAL CITY
Vista Adult,510 Sunset Drive,Vista,92081,52,VISTA
Carlsbad Adult Transition,6225 El Camino Real,Carlsbad,92009,41,CARLSBAD
Coastal Academy Charter,4096 Calle Platino,Oceanside,92056,42,OCEANSIDE
Double Peak,111 San Elijo Road,San Marcos,92078,51,SAN MARCOS
San Marcos Adult,158 Cassou Road,San Marcos,92069,51,SAN MARCOS
Learning Choice Academy - Chula Vista,"881 Kuhn Drive Suite, 106",Chula Vista,91914,20,SWEETWATER
Kidinnu Academy,1025 North Second Street,El Cajon,92021,34,EL CAJON
The Learning Choice Academy - East County,4215 Spring Street Suite 104,La Mesa,91941,33,LA MESA
Brookfield Engineering Science Technology Academy,1704 Cape Horn,Julian,92036,60,PALOMAR-JULIAN
JCS - Pine Valley,28876 Old Highway 80,Pine Valley,91962,61,LAGUNA-PINE VALLEY
San Diego Mission Academy,9512 Chesapeake Drive,San Diego,92123,10,KEARNY MESA
Pathways Academy Charter - Adult Education,100 East San Marcos Boulevard,San Marcos,92069,51,SAN MARCOS
High Tech Middle Mesa,5331 Mount Alifan Drive Building 400,San Diego,92111,10,KEARNY MESA
High Tech Elementary Mesa,5331 Mount Alifan Drive Building 200,San Diego,92111,10,KEARNY MESA
Diego Hills Central Public Charter,4348 54th Street,San Diego,92115,6,MID-CITY
Audeo Charter School III,200 East Via Rancho Parkway,Escondido,92025,50,ESCONDIDO
Diego Valley East Public Charter,511 North 2nd Street,El Cajon,92021,34,EL CAJON
JCS - Mountain Oaks,539 Encinitas Boulevard,Encinitas,92024,40,SAN DIEGUITO
Elite Academic Academy - Mountain Empire,3291 Buckman Springs Road,Pine Valley,91962,62,MOUNTAIN EMPIRE
America's Finest Charter,730 45th Street,San Diego,92105,5,SOUTHEASTERN SAN DIEGO
Vista Del Mar,4885 Del Sol Boulevard,San Diego,92154,22,SOUTH BAY
Pivot Charter School - San Diego II,1030 La Bonita Drive Suite 100,San Marcos,92078,51,SAN MARCOS
Valley Center-Pauma Adult,31322 Cole Grade Road,Valley Center,92082,53,VALLEY CENTER
High Tech High Mesa,5331 Mount Alifan,San Diego,92111,10,KEARNY MESA
Banyan Tree Foundations Academy - San Diego,3450 Clairemont Drive,San Diego,92117,10,KEARNY MESA
Coastal Christian Academy,4633 Doliva Dr.,San Diego,92117,10,KEARNY MESA
Community Transition Academy,625 Pennsylvania Avenue,San Diego,92103,1,CENTRAL SAN DIEGO
Lingua Natal,1104 Garden View Rd,Encinitas,92024,40,SAN DIEGUITO
New Haven School,216 West Los Angeles Dr.,Vista,92083,52,VISTA
Saint Mary - Saint Joseph Catholic School,322 Amparo Drive,Escondido,92025,50,ESCONDIDO
The Rhoades School,141 S. Rancho Santa Fe Road,Encinitas,92024,40,SAN DIEGUITO
JCS - Cedar Cove,777 Santa Fe,Encinitas,92024,40,SAN DIEGUITO
Imperial Beach Charter,525 3rd St,Imperial Beach,91932,22,SOUTH BAY
Logan Memorial Educational Campus,2875 Ocean View Blvd,San Diego,92113,1,CENTRAL SAN DIEGO
Mountain View,3550 Logan Avenue,San Diego,92113,5,SOUTHEASTERN SAN DIEGO
SBUSD Virtual Academy,525 Third Street,Imperial Beach,91932,22,SOUTH BAY
Surfside Academy,1125 South Ditmar Street,Oceanside,92054,42,OCEANSIDE
Oceanside Unified School District Adult Transition Program,707 Carey Road,Oceanside,92058,42,OCEANSIDE
Green Hills Learning Center,"2400 Fenton St., Suite 101",Chula Vista,91914,20,SWEETWATER
Foothills Christian Middle School,365 W. Bradley Ave.,El Cajon,92020,34,EL CAJON
Excelsior Academy,"7200 Parkway Drive, Ste 113",La Mesa,91942,33,LA MESA
Montessori Children's Elementary,703 9Th Street,Ramona,92065,39,RAMONA
Cristo Rey San Diego High School,1228 S. 38Th St.,San Diego,92113,5,SOUTHEASTERN SAN DIEGO
Via Talentum Academy,1041 Market St Ste 165,San Diego,92101,1,CENTRAL SAN DIEGO
Day Prep,7717 Fay Avenue,San Diego,92037,11,COASTAL
Banyan Tree Compass Academy,2675 Rosecrans St. .,San Diego,92106,2,PENINSULA
Warren-Walker Middle School,2231 Camino Del Rio South,San Diego,92108,10,KEARNY MESA
Japanese Academy of San Diego,4811 Mt. Etna Drive,San Diego,92117,10,KEARNY MESA
Beacon Christian Academy,3520 Mt. Acadia Blvd.,San Diego,92111,10,KEARNY MESA
Mission Valley Academy,4055 Camino del Rio South,San Diego,92108,6,MID-CITY
The Evans School,6510 La Jolla Scenic Drive S,San Diego,92037,11,COASTAL
Norton High School,"1106 Second Street, Suite 532",Encinitas,92024,40,SAN DIEGUITO
Tack International Academy,416 W San Ysidro Blvd L304,San Diego,92173,22,SOUTH BAY
Diegueno Country School,15663 Circo Diegueno Road,San Diego,92067,14,NORTH SAN DIEGO
Sanderling Waldorf School,2585 Business Park Dr,Vista,92081,52,VISTA
Discovery Isle Preschool,3791 Oceanic Way,Oceanside,92056,42,OCEANSIDE
West Coast Baptist School,1985 Peacock Blvd,Oceanside,92056,52,VISTA
California Accelerated Learning Institute,"3401 Piazza De Oro Way, Ste 300",Oceanside,92056,42,OCEANSIDE
Legacy Montessori School,12310 9th Street,Poway,92064,14,NORTH SAN DIEGO
iHigh Virtual Academy,3939 Conde Street,San Diego,92110,2,PENINSULA
Bostonia Global,1390 Broadway,El Cajon,92021,34,EL CAJON
Launch Virtual Academy,2710 Iris Avenue,San Diego,92154,22,SOUTH BAY
Catalyst Academy Chula Vista,1173 Hitching Post Ln,Chula Vista,91915,20,SWEETWATER
My Montessori School Coronado,801 Orange Avenue,Coronado,92118,3,CORONADO
Adventureland Christian Preschool,1305 Deodar Rd,Escondido,92026,50,ESCONDIDO
LifeBridge Preschool,17645 W Bernardo Dr,San Diego,92127,14,NORTH SAN DIEGO
My Room to Grow,13613 Cynthia Lane,Poway,92064,15,POWAY
LAT Online School Inc,420 Milagrosa Circle,Chula Vista,91910,20,SWEETWATER
La Jolla Learning Works,7730 Herschel Ave N,La Jolla,92037,11,COASTAL
Willow Ridge Academy,7507 Aegean Court,San Diego,92126,13,DEL MAR-MIRA MESA
Whittier Christian Schools- CSS,17130 Van Buren Blvd,San Diego,92111,10,KEARNY MESA
Scripps Montessori,9939 Old Grove Road,San Diego,92123,15,POWAY
Fresh Ed North/Fresh Ed Homeschool,8701 Paseo Bello,Santee,92071,35,SANTEE
LePort Montessori Solana Beach,1010 Solana Drive,Del Mar,92014,40,SAN DIEGUITO
The Winston School of San Diego,215 9th Street,Del Mar,92014,13,DEL MAR-MIRA MESA
Vista Training Program,2683 Foothill Drive,Vista,92084,52,VISTA
Seeds of Hope Academy,777 Santa Fe Drive,Encinitas,92024,40,SAN DIEGUITO
Rahib Academy,1209 Wyckoff St,Chula Vista,91913,20,SWEETWATER
Across Summercreek,2342 Summercreek Wy,Escondido,92029,50,ESCONDIDO
The Kingdom of Light,1355 E. Main St.  #314,El Cajon,92021,34,EL CAJON
10X Academy,725 N. Escondido Blvd,Escondido,92025,50,ESCONDIDO
Topview Academy,3843 Canonita Dr,Fallbrook,92028,55,FALLBROOK
WinterWarm Christian Academy,2131 Winterwarm Dr.,Fallbrook,92028,55,FALLBROOK
Arrow Academy,15322 Bandy Canyon Road,Escondido,92025,50,ESCONDIDO
Alpha and Omega Academy,"924 Santa Margarita Dr,",Fallbrook,92028,55,FALLBROOK
Abeka,988 Flint St,El Cajon,92021,34,EL CAJON
Inland Pacific Learning Academy,16891 Platinum Pl.,Lakeside,92040,39,RAMONA
Accelerated Teaching for Children in Homeschool,1331 Buckwheat Trail,Campo,91906,62,MOUNTAIN EMPIRE
Hope City,2169 Green Canyon Rd,Fallbrook,92028,55,FALLBROOK
Helix Montessori School,3941 Conrad Dr,Spring Valley,91977,31,SPRING VALLEY
Lighthouse Literacy Academy A Primary School,2705  Via Orange #A,Spring Valley,91978,31,SPRING VALLEY
Grace Christian School,10760 Thornmint Rd,San Diego,92127,14,NORTH SAN DIEGO
Valentina's World,"2650 Grove Street,",National City,91950,4,NATIONAL CITY
Hindi Langauge Program,16702 Summit Vista Dr,San Diego,92127,14,NORTH SAN DIEGO
CWB Academy,4184 Beyer Blvd Suit 201,San Ysidro,92173,22,SOUTH BAY
Steinbrenner Academy,517 Carolwood Dr,San Diego,92139,5,SOUTHEASTERN SAN DIEGO
Montessori School of La Jolla,6540 Soledad Mtn. Road,La Jolla,92037,11,COASTAL
The Whole Child Learning Center,6063 La Jolla Blvd,La Jolla,92037,11,COASTAL
Ambleside Academy,936 Miramar Drive,Vista,92081,52,VISTA
Rising Stars,600 West Broadway Suite 700,San Diego,92101,1,CENTRAL SAN DIEGO
Pa Dahring Academy,1081 7Th St,Imperial Beach,91932,22,SOUTH BAY
Casa Montessori de Carlsbad,3470 Madison Street,Carlsbad,92008,41,CARLSBAD
Boone Pioneer School,26439 Hwy.76,Santa Ysabel,92070,60,PALOMAR-JULIAN
LV Academy,2584 Wellspring St,Carlsbad,92010,41,CARLSBAD
Pamoosa Creek Academy,11401 Betsworth Road,Valley Center,92082,53,VALLEY CENTER
Arrow Academy,13826 Misty Oak Road,Valley Center,92082,53,VALLEY CENTER
Carmel Mountain Preschool,9510 Carmel Mountain Preschool Road,San Diego,92129,14,NORTH SAN DIEGO
Lemon Grove Academy Elementary,7885 Golden Avenue,Lemon Grove,91945,32,LEMON GROVE
Limitless Learning Academy,1400 West Ninth Avenue,Escondido,92029,50,ESCONDIDO
Fahari L. Jeffers Elementary,1145 Camino Prado,Chula Vista,91913,20,SWEETWATER
Lemon Grove Early Childhood Education Center,8425 Palm Street,Lemon Grove,91945,32,LEMON GROVE
Pacific Sky,6631 Solterra Vista Parkway,San Diego,92130,13,DEL MAR-MIRA MESA
Nipaquay Elementary,7900 Civita Boulevard,San Diego,92108,10,KEARNY MESA
Poway to Palomar Middle College High,11111 Rancho Bernardo Road,San Diego,92127,14,NORTH SAN DIEGO
Discovery Isle,11740 Creek Road,Poway,92064,15,POWAY
"TERI, INC. The Country School",3225 Roymar Road,Oceanside,92054,42,OCEANSIDE
Bright Horizon Academy,7202 Princess View Dr,San Diego,92120,17,ELLIOTT-NAVAJO
Albert Einstein Academy Charter Elementary,3035 Ash Street,San Diego,92102,1,CENTRAL SAN DIEGO
